var,c_2022_20_ols,p_2022_20_ols,c_2022_20_fwd,p_2022_20_fwd,c_2022_20,p_2022_20
애완동물,-0.639,+,-0.547,+,-0.656,+
슈퍼마켓,-0.082, ,-0.065, ,-0.082,+
기타대학,0.094,+,0.081,+,0.095,+
커피-음료,0.077, ,0.129,+,0.103,+
양식음식점,0.089, ,0.15,+,,
대학교,0.413,+,0.417,+,0.419,+
편의점,0.456,+,0.427,+,0.4,+
일식음식점,0.235, ,,,0.283,+
사업체수,0.329,+,,,0.223,+
종사자수,-0.276,+,,,-0.257,+
네일숍,0.306, ,,,,
미용실,-0.175, ,,,,
분식전문점,0.352,+,,,,
한식음식점,-0.439,+,,,,
중식음식점,-0.023, ,,,,
치킨전문점,0.009, ,,,,
패스트푸드점,-0.165, ,,,,
제과점,-0.087, ,,,,
호프-간이주점,0.158,+,,,,
유통업체수,-0.035, ,,,,
대형마트,0.07, ,,,,
쇼핑업체수,-0.055, ,,,,
지가변동률,0.108, ,,,,
지가,0.055, ,,,,
