var,c_2023_20_ols,p_2023_20_ols,c_2023_20_fwd,p_2023_20_fwd,c_2023_20,p_2023_20
애완동물,-0.644,+,-0.63,+,-0.501,+
제과점,-0.306,+,-0.237,+,-0.357,+
종사자수,-0.297, ,-0.204,+,,
치킨전문점,-0.089, ,-0.131, ,,
지가,0.004, ,-0.007, ,,
커피-음료,0.074, ,0.048, ,,
미용실,0.112, ,0.071, ,,
기타대학,0.081, ,0.076, ,,
지가변동률,0.106, ,0.093, ,0.126,+
양식음식점,0.099, ,0.133, ,0.131,+
네일숍,0.332,+,0.344,+,0.388,+
대학교,0.434,+,0.43,+,0.45,+
편의점,0.504,+,0.522,+,0.358,+
분식전문점,0.114, ,,,,
한식음식점,-0.298, ,,,,
일식음식점,0.309, ,,,,
중식음식점,-0.056, ,,,,
패스트푸드점,-0.002, ,,,,
호프-간이주점,0.025, ,,,,
대형마트,0.076, ,,,,
쇼핑업체수,-0.057, ,,,,
슈퍼마켓,-0.009, ,,,,
사업체수,0.125, ,,,,
