var,c_2022_all,p_2022_all,c_2022_20,p_2022_20,c_2022_30,p_2022_30,c_2023_all,p_2023_all,c_2023_20,p_2023_20,c_2023_30,p_2023_30,c_2024_all,p_2024_all,c_2024_20,p_2024_20,c_2024_30,p_2024_30
const,-0.0, ,0.0, ,-0.0, ,-0.0, ,0.0, ,0.0, ,-0.0, ,0.0, ,-0.0, 
네일숍,0.173, ,0.298,+,0.453,+,0.313,+,0.332,+,0.53,+,0.27, ,0.319,+,0.477,+
미용실,0.388, ,-0.011, ,-0.092, ,0.387, ,0.112, ,-0.291, ,0.229, ,-0.02, ,-0.282, 
애완동물,-0.6,+,-0.538,+,-0.104, ,-0.772,+,-0.644,+,-0.128, ,-0.725,+,-0.644,+,-0.086, 
분식전문점,0.093, ,0.114, ,-0.308, ,0.112, ,0.114, ,-0.289, ,0.143, ,0.048, ,-0.252, 
한식음식점,0.08, ,-0.322, ,-0.262, ,0.122, ,-0.298, ,-0.279, ,0.14, ,-0.067, ,-0.122, 
양식음식점,0.248,+,0.079, ,0.073, ,0.238,+,0.099, ,0.168, ,0.202,+,0.076, ,0.159,+
일식음식점,0.066, ,0.384,+,0.685,+,-0.033, ,0.309, ,0.458,+,-0.118, ,0.15, ,0.288, 
중식음식점,-0.033, ,-0.029, ,-0.003, ,-0.07, ,-0.056, ,-0.009, ,-0.023, ,-0.01, ,0.051, 
치킨전문점,-0.145, ,-0.017, ,-0.317,+,-0.176, ,-0.089, ,-0.294,+,-0.156, ,-0.068, ,-0.271,+
커피-음료,0.017, ,0.065, ,-0.105, ,-0.016, ,0.074, ,-0.049, ,0.043, ,0.123, ,-0.02, 
패스트푸드점,-0.047, ,-0.037, ,0.134, ,-0.05, ,-0.002, ,0.185, ,-0.076, ,-0.008, ,0.136, 
제과점,-0.456,+,-0.222, ,-0.514,+,-0.46,+,-0.306,+,-0.476,+,-0.298,+,-0.15, ,-0.356,+
호프-간이주점,0.042, ,0.035, ,0.055, ,0.04, ,0.025, ,0.067, ,0.083, ,0.027, ,0.076, 
대형마트,0.061, ,0.078, ,0.128,+,0.064, ,0.076, ,0.124,+,0.04, ,0.071, ,0.102,+
쇼핑업체수,-0.024, ,-0.109, ,-0.097, ,-0.015, ,-0.057, ,-0.137, ,-0.104, ,-0.119, ,-0.164,+
편의점,0.39,+,0.397,+,0.481,+,0.515,+,0.504,+,0.613,+,0.487,+,0.435,+,0.429,+
슈퍼마켓,0.04, ,-0.008, ,-0.057, ,0.035, ,-0.009, ,-0.046, ,0.033, ,-0.005, ,-0.047, 
사업체수,0.158, ,0.193, ,0.235, ,0.15, ,0.125, ,0.226, ,0.417,+,0.17, ,0.355,+
종사자수,-0.008, ,-0.372,+,-0.192, ,0.046, ,-0.297, ,-0.189, ,-0.181, ,-0.369,+,-0.24, 
지가변동률,0.018, ,0.109, ,0.008, ,0.067, ,0.106, ,0.257,+,0.034, ,0.07, ,0.37,+
지가,-0.061, ,0.001, ,-0.295,+,-0.004, ,0.004, ,-0.024, ,-0.0, ,0.011, ,-0.155,+
대학교,0.165,+,0.435,+,-0.073, ,0.158,+,0.434,+,-0.075, ,0.161,+,0.434,+,-0.057, 
기타대학,0.043, ,0.085, ,-0.042, ,0.039, ,0.081, ,-0.05, ,0.027, ,0.071, ,-0.054, 
