var,c_2023_30_ols,p_2023_30_ols,c_2023_30_fwd,p_2023_30_fwd,c_2023_30,p_2023_30
쇼핑업체수,-0.08, ,-0.113,+,-0.093,+
대학교,-0.096,+,-0.085,+,-0.107,+
대형마트,0.071, ,0.073, ,,
지가변동률,0.22,+,0.234,+,0.185,+
양식음식점,0.084, ,0.271,+,,
사업체수,0.282,+,0.274,+,0.196,+
애완동물,-0.254, ,,,-0.235,+
일식음식점,0.273, ,,,0.385,+
치킨전문점,-0.28,+,,,-0.246,+
편의점,0.549,+,,,0.291,+
네일숍,0.31, ,,,,
미용실,-0.189, ,,,,
분식전문점,-0.077, ,,,,
한식음식점,-0.295, ,,,,
중식음식점,-0.003, ,,,,
커피-음료,0.016, ,,,,
패스트푸드점,0.139, ,,,,
제과점,-0.161, ,,,,
호프-간이주점,0.145, ,,,,
슈퍼마켓,-0.058, ,,,,
지가,0.039, ,,,,
종사자수,-0.1, ,,,,
기타대학,-0.037, ,,,,
월평균소득,0.037, ,,,,
