var2,var,c_2022_all,p_2022_all,c_2022_20,p_2022_20,c_2022_30,p_2022_30,c_2023_all,p_2023_all,c_2023_20,p_2023_20,c_2023_30,p_2023_30,c_2024_all,p_2024_all,c_2024_20,p_2024_20,c_2024_30,p_2024_30
Intercept,상수,0.0, ,0.0, ,-0.0, ,-0.0, ,0.0, ,0.0, ,0.0, ,-0.0, ,-0.0, 
var20,사업체수,0.205,+,,,0.182,+,0.212,+,,,0.274,+,0.169,+,,,0.273,+
var24,월평균소득,-0.45,+,-0.179,+,,,-0.44,+,-0.179,+,,,-0.483,+,-0.19,+,,
var6,양식음식점,0.218,+,0.068, ,,,0.224,+,0.081, ,0.271,+,0.187,+,0.065, ,0.225,+
var3,애완동물,-0.542,+,-0.531,+,,,-0.603,+,-0.629,+,,,-0.649,+,-0.619,+,,
var4,분식전문점,0.586,+,,,-0.043, ,0.553,+,,,,,0.483,+,,,,
var22,대학교,0.129,+,0.42,+,-0.089,+,0.125,+,0.404,+,-0.085,+,0.132,+,0.403,+,-0.073, 
var9,치킨전문점,-0.299,+,,,-0.27,+,-0.285,+,,,,,-0.348,+,,,,
var13,호프-간이주점,0.124,+,,,0.144,+,0.135,+,,,,,0.14,+,,,,
var10,커피-음료,0.069, ,0.1,+,,,,,0.11,+,,,,,0.102,+,,
